"46.5686643287559, -24.9372322871579","46.6405295514855, -24.9372322871579","46.6405295514855, -24.8653670644283","46.5686643287559, -24.8653670644283"
"46.5686643287559, -25.0090975098874","46.6405295514855, -25.0090975098874","46.6405295514855, -24.9372322871579","46.5686643287559, -24.9372322871579"
"46.5686643287559, -25.080962732617","46.6405295514855, -25.080962732617","46.6405295514855, -25.0090975098874","46.5686643287559, -25.0090975098874"
"46.5686643287559, -25.1528279553466","46.6405295514855, -25.1528279553466","46.6405295514855, -25.080962732617","46.5686643287559, -25.080962732617"
"46.6405295514855, -24.5779061735101","46.7123947742151, -24.5779061735101","46.7123947742151, -24.5060409507805","46.6405295514855, -24.5060409507805"
"46.6405295514855, -24.6497713962396","46.7123947742151, -24.6497713962396","46.7123947742151, -24.5779061735101","46.6405295514855, -24.5779061735101"
"46.6405295514855, -24.7216366189692","46.7123947742151, -24.7216366189692","46.7123947742151, -24.6497713962396","46.6405295514855, -24.6497713962396"
"46.6405295514855, -24.7935018416987","46.7123947742151, -24.7935018416987","46.7123947742151, -24.7216366189692","46.6405295514855, -24.7216366189692"
"46.6405295514855, -24.8653670644283","46.7123947742151, -24.8653670644283","46.7123947742151, -24.7935018416987","46.6405295514855, -24.7935018416987"
"46.6405295514855, -24.9372322871579","46.7123947742151, -24.9372322871579","46.7123947742151, -24.8653670644283","46.6405295514855, -24.8653670644283"
"46.6405295514855, -25.0090975098874","46.7123947742151, -25.0090975098874","46.7123947742151, -24.9372322871579","46.6405295514855, -24.9372322871579"
"46.6405295514855, -25.080962732617","46.7123947742151, -25.080962732617","46.7123947742151, -25.0090975098874","46.6405295514855, -25.0090975098874"
"46.6405295514855, -25.1528279553466","46.7123947742151, -25.1528279553466","46.7123947742151, -25.080962732617","46.6405295514855, -25.080962732617"
"46.7123947742151, -23.0687364961893","46.7842599969446, -23.0687364961893","46.7842599969446, -22.9968712734597","46.7123947742151, -22.9968712734597"
